01F0017N,01F0005N,48
01F0029N,01F0017N,48
01F0005S,01F0017S,51
01F0061N,01F0029N,125
01F0017S,01F0029S,49
01F0099N,01F0061N,164
01F0029S,01F0061S,130
03F0006S,01F0061S,550
01F0147N,01F0099N,199
01H0174N,01F0099N,294
03F0087S,01F0099N,2680
03F0116N,01F0099N,95
01F0061S,01F0099S,289
01F0155N,01F0147N,31
01F0099S,01F0147S,251
03F0087S,01F0147S,287
03F0116N,01F0147S,337
01F0213N,01F0155N,265
01F0147S,01F0155S,66
01F0155S,01F0182S,228
01F0233N,01F0213N,91
01F0256N,01F0233N,201
01F0182S,01F0248S,311
01F0293N,01F0256N,270
01F0248S,01F0264S,71
01F0339N,01F0293N,186
01F0376N,01F0339N,166
01H0447N,01F0339N,427
01F0293S,01F0339S,1907
01H0305S,01F0339S,140
03F0337S,01F0339S,1896
01F0413N,01F0376N,155
01F0339S,01F0376S,166
01F0467N,01F0413N,318
01F0376S,01F0413S,160
01F0509N,01F0467N,202
01F0413S,01F0467S,196
01F0532N,01F0509N,92
03F0525S,01F0509N,798
03F0559N,01F0509N,684
01F0467S,01F0509S,172
01F0532S,01F0532N,1873
01F0557N,01F0532N,98
01F0509S,01F0532S,92
03F0525S,01F0532S,789
03F0559N,01F0532S,1029
01F0584N,01F0557N,114
01F0532S,01F0557S,119
01F0557N,01F0557S,1835
01F0557S,01F0578S,94
01F0633N,01F0584N,374
01H0608N,01F0584N,94
01F0664N,01F0633N,171
03F0648N,01F0633N,1040
01F0578S,01F0633S,229
01H0579S,01F0633S,220
01F0681N,01F0664N,65
01F0633S,01F0664S,129
03F0559S,01F0664S,1195
03F0648N,01F0664S,3088
01F0750N,01F0681N,258
01F0664S,01F0681S,72
01F0880N,01F0750N,550
01F0681S,01F0750S,304
01H0610S,01F0750S,530
01F0928N,01F0880N,258
01F0750S,01F0880S,505
01F0956N,01F0928N,168
01F0880S,01F0928S,262
01F0928S,01F0950S,109
01F0979N,01F0956N,92
01F1045N,01F0979N,256
03F0996S,01F0979N,164
03F1022N,01F0979N,176
01F0950S,01F0980S,115
01F1123N,01F1045N,297
01F0980S,01F1045S,231
03F0996S,01F1045S,240
03F1022N,01F1045S,270
01F1292N,01F1123N,606
01F1045S,01F1123S,285
01F1389N,01F1292N,346
01F1123S,01F1292S,620
01F1465N,01F1389N,279
01F1292S,01F1389S,364
01F1572N,01F1465N,389
01F1389S,01F1465S,272
01F1621N,01F1572N,259
01F1465S,01F1572S,401
01F1664N,01F1621N,157
03F1710N,01F1621N,1273
01F1572S,01F1621S,245
01F1725N,01F1664N,235
01F1621S,01F1664S,153
03F1651S,01F1664S,551
03F1710N,01F1664S,468
01F1774N,01F1725N,205
01F1664S,01F1725S,222
01F1802N,01F1774N,110
01F1725S,01F1774S,185
01F1839N,01F1802N,129
01F1774S,01F1802S,101
01F1906N,01F1839N,238
01F1802S,01F1839S,123
01F1960N,01F1906N,226
03F1944S,01F1906N,208
03F1992N,01F1906N,324
01F1839S,01F1906S,235
01F2011N,01F1960N,197
01F1906S,01F1960S,192
03F1944S,01F1960S,252
03F1992N,01F1960S,277
01F2089N,01F2011N,299
03F2231N,01F2011N,1113
01F1960S,01F2011S,186
01F2156N,01F2089N,250
01F2011S,01F2089S,274
03F2194S,01F2089S,995
03F2231N,01F2089S,949
01F2249N,01F2156N,351
01F2089S,01F2156S,241
01F2322N,01F2249N,397
01F2156S,01F2249S,326
01F2394N,01F2322N,251
01F2249S,01F2322S,319
01F2425N,01F2394N,109
01F2322S,01F2394S,253
01F2483N,01F2425N,202
03F2614S,01F2425N,711
03F2709N,01F2425N,662
01F2394S,01F2425S,110
01F2514N,01F2483N,117
01F2425S,01F2483S,202
03F2614S,01F2483S,966
01F2603N,01F2514N,328
01F2483S,01F2514S,106
01F2674N,01F2603N,274
01F2514S,01F2603S,355
01F2714N,01F2674N,142
01F2603S,01F2674S,244
01F2827N,01F2714N,397
03F2985S,01F2714N,611
01F2674S,01F2714S,194
01F2866N,01F2827N,202
01F2714S,01F2827S,417
03F2985S,01F2827S,957
01F2930N,01F2866N,226
01F2827S,01F2866S,210
01F3019N,01F2930N,333
01F2866S,01F2930S,269
01F3083N,01F3019N,261
01F2930S,01F3019S,311
03F3307S,01F3019S,813
01F3126N,01F3083N,156
01F3019S,01F3083S,243
01F3185N,01F3126N,230
03F3496N,01F3126N,553
01F3083S,01F3126S,155
01F3227N,01F3185N,162
01F3126S,01F3185S,224
03F3445S,01F3185S,555
03F3496N,01F3185S,624
01F3252N,01F3227N,104
01F3185S,01F3227S,173
01F3286N,01F3252N,296
01F3366N,01F3286N,328
03F3588N,01F3286N,643
01F3227S,01F3286S,238
01F3398N,01F3366N,115
01F3286S,01F3366S,355
03F3496S,01F3366S,1055
01F3460N,01F3398N,236
01F3366S,01F3398S,115
01F3525N,01F3460N,282
01F3398S,01F3460S,242
01F3559N,01F3525N,301
01F3460S,01F3525S,245
01F3590N,01F3559N,237
01F3525S,01F3561S,136
01F3640N,01F3590N,221
03F3854N,01F3590N,912
01F3561S,01F3590S,110
01F3676N,01F3640N,161
01F3590S,01F3640S,184
03F3743S,01F3640S,1045
03F3854N,01F3640S,902
01F3696N,01F3676N,85
01F3640S,01F3676S,133
