偵測站,上游交流道名稱,下游交流道名稱,上游交流道里程,下游交流道里程,所在里程數
01F2011N,彰化,埔鹽系統,198.496,207.628,201.1
01F2089N,埔鹽系統,員林,207.628,210.985,208.9
01F2156N,員林,北斗,210.985,220.102,215.6
01F2249N,北斗,西螺,220.102,230.469,224.9
01F2322N,西螺,虎尾,230.469,235.701,232.2
01F2394N,虎尾,斗南,235.701,240.569,239.4
01F2425N,斗南,雲林系統,240.569,243.768,242.5
01F2483N,雲林系統,大林,243.768,250.296,248.3
01F2514N,大林,民雄,250.296,257.2,251.4
01F2603N,民雄,嘉義,257.2,264.25,260.3
01F2674N,嘉義,水上,264.25,270.44,267.4
01F2714N,水上,嘉義系統,270.44,272.895,271.4
01F2827N,嘉義系統,新營服務區,272.895,284.2,282.7
01F2866N,新營服務區,新營,284.2,288.4,286.3
01F2930N,新營,下營系統,288.4,299.565,293
01F3019N,下營系統,麻豆,299.565,303.66,301.9
01F3083N,麻豆,安定,303.66,311.123,308.3
01F3126N,安定,台南系統,311.123,315.47,312.6
01F3185N,台南系統,永康,315.47,319.62,318.5
01F3227N,永康,大灣,319.62,324.485,322.7
01F3252N,大灣,台南,324.485,327.43,325.2
01F3286N,台南,仁德系統,327.43,330.7,328.6
01F3366N,仁德系統,路竹,330.7,338.3,336.6
01F3398N,路竹,高科,338.3,342.43,339.8
01F3460N,高科,岡山,342.43,349.42,346
01F3525N,岡山,楠梓(旗楠路),349.42,355.296,352.5
01F3559N,楠梓(旗楠路),楠梓(鳳楠路),355.296,357.1,355.9
01F3590N,楠梓(鳳楠路),鼎金系統,357.1,362.27,359
01F3640N,鼎金系統,高雄(九如路),362.27,366.532,364
01F3676N,高雄(九如路),高雄(中正路),366.532,367.729,367.6
01F3696N,高雄(三多路),五甲系統,368.044,370.95,368.6
01F3736N,漁港路,高雄端,373,374.4,373.7
03F0006S,基金,瑪東系統,0,2.304,0.6
03F0087S,瑪東系統,汐止系統,2.304,10.706,8.7
03F0116S,汐止系統,新台五路,10.706,12.815,11.6
03F0136S,新台五路,南港,12.815,14.54,13.6
03F0158S,南港,南港系統,14.756,15.922,15.8
03F0201S,南港系統,木柵,16.2,20.608,20.1
03F0217S,木柵,新店,20.608,26.942,21.7
03F0301S,新店,安坑,26.942,31.023,30.1
03F0337S,安坑,中和,31.023,35.792,33.7
03F0394S,中和,土城,35.792,42.446,39.4
03F0447S,土城,樹林,42.446,46.6,44.7
03F0498S,樹林,三鶯,46.6,50.596,48
03F0525S,三鶯,鶯歌系統,50.596,54.32,52.5
03F0559S,鶯歌系統,大溪,54.32,62.72,55.9
03F0648S,大溪,龍潭,62.72,68.234,64.8
03F0698S,龍潭,關西服務區,68.234,76.175,69.8
03F0783S,關西服務區,關西,76.175,79.21,78.3
03F0846S,關西,竹林,79.21,90.326,84.6
03F0961S,竹林,寶山,90.326,98.832,96.1
03F0996S,寶山,新竹系統,98.832,100.698,99.6
03F1022S,新竹系統,茄苳,100.698,103.888,102.2
03F1051S,茄苳,香山,103.888,109.165,105.1
03F1128S,香山,西濱,109.883,115.449,112.8
03F1161S,西濱,竹南,115.449,119.115,116.1
03F1215S,竹南,大山,119.115,124.536,121.5
03F1257S,大山,後龍,124.536,130.192,125.7
03F1332S,後龍,西湖服務區,130.192,134.851,130.192
03F1395S,西湖服務區,通霄,134.851,144.289,139.5
03F1485S,通霄,苑裡,144.289,156.791,148.5
03F1633S,苑裡,大甲,156.791,164.258,163.3
03F1651S,大甲,中港系統,164.258,168.95,165.1
03F1710S,中港系統,清水服務區,168.95,172.446,171
03F1739S,清水服務區,沙鹿,172.446,176.12,173.9
03F1779S,沙鹿,龍井,176.12,182.825,177.9
03F1860S,龍井,和美,182.825,191.6,186
03F1944S,和美,彰化系統,191.6,196.72,194.4
03F1991S,彰化系統,快官,196.72,202.088,199.1
03F2066S,快官,烏日,202.088,207.306,206.6
03F2079S,烏日,中投,207.306,209.06,207.9
03F2100S,中投,霧峰,209.06,211.368,210
03F2129S,霧峰,霧峰系統,211.368,214.26,212.9
03F2152S,霧峰系統,草屯,214.26,217.214,215.2
03F2194S,草屯,中興系統,217.214,222.8,219.4
03F2235S,中興系統,中興,222.8,224.642,223.5
03F2261S,中興,南投,224.642,228.42,226.1
03F2306S,南投,南投服務區,228.42,231.454,230.6
03F2336S,南投服務區,名間,231.454,237.064,233.6
03F2415S,名間,竹山,237.064,243.7,241.5
03F2447S,竹山,南雲,243.7,250.1
03F2535S,南雲,斗六,250.1,260.274,253.5
03F2614S,斗六,古坑系統,260.274,269.096,261.4
03F2709S,古坑系統,古坑,269.096,271.5,270.9
03F2747S,古坑,古坑服務區,271.5,276.88,274.7
03F2777S,古坑服務區,梅山,276.88,279.356,277.7
03F2840S,梅山,竹崎(北),279.356,289.002,284
03F2899S,竹崎(北),竹崎(南),289.002,291.013,289.9
03F2923S,竹崎(南),中埔,291.013,297.529,292.3
03F2985S,中埔,水上系統,297.529,300.435,298.5
03F3101S,水上系統,白河,300.435,311.688,310.1
03F3187S,白河,東山服務區,311.688,319.802,318.7
03F3211S,東山服務區,柳營,319.802,322.6,321.1
03F3259S,柳營,烏山頭,322.6,329.72,325.9
03F3307S,烏山頭,官田系統,329.72,334.866,330.7
03F3392S,官田系統,善化,334.866,340.159,339.2
03F3445S,善化,新化系統,340.159,346.899,344.5
03F3496S,新化系統,關廟,346.899,356.984,349.6
03F3588S,關廟,關廟服務區,356.984,363.8
03F3670S,關廟服務區,田寮,363.8,369.517
03F3743S,田寮,燕巢系統,369.517,382.991,374.3
03F3854S,燕巢系統,九如,382.991,390.913,385.4
03F3916S,九如,長治,390.913,400.137,391.6
03F4018S,長治,麟洛,400.137,406.883,401.8
03F4142S,麟洛,竹田系統,407.874,415.206,414.2
03F4168S,竹田系統,崁頂,415.206,421.915,416.8
03F4232S,崁頂,南州,421.915,424.353,423.2
03F4263S,南州,林邊,424.617,430.53,426.3
03F0021N,基金,瑪東系統,0,2.304,2.1
03F0054N,瑪東系統,汐止系統,2.304,10.706,5.4
03F0116N,汐止系統,新台五路,10.706,12.815,11.6
03F0140N,新台五路,南港,12.815,14.54,14
03F0150N,南港,南港系統,14.756,15.922,15
03F0201N,南港系統,木柵,16.2,20.608,20.1
03F0217N,木柵,新店,20.608,26.942,21.7
03F0301N,新店,安坑,26.942,31.023,30.1
03F0338N,安坑,中和,31.023,35.792,33.8
03F0394N,中和,土城,35.792,42.446,39.4
03F0447N,土城,樹林收費站,42.446,46.6
03F0498N,樹林收費站,三鶯,46.6,50.596
03F0525N,三鶯,鶯歌系統,50.596,54.32,52.5
